"~id","~labels","dateCreation","extension","expired","isProtected","dateExpiration","dateModification","nbDaysBeforeExpires","id","status"
"0","Site","2021-08-23","nc","False","False","2026-08-23","2021-08-23",1410,"032","green"
"1","Site","2008-04-02","nc","False","False","2028-04-02","2021-04-06",1998,"1012","green"
"2","Site","2008-04-08","nc","False","False","2023-04-08","2021-02-16",177,"1013","green"
"3","Site","2008-04-08","nc","False","False","2028-04-08","2021-02-16",2004,"1016","green"
"4","Site","2008-04-08","nc","False","False","2023-04-08","2021-02-16",177,"1050","green"
"5","Site","2021-07-20","nc","False","False","2023-07-20","2021-07-20",280,"10ansitineraires","green"
"6","Site","2017-07-28","nc","False","False","2027-07-28","2022-07-25",1749,"118","green"
"7","Site","2021-08-31","nc","False","False","2026-08-31","2021-08-31",1418,"12glasser","green"
"8","Site","2021-05-12","nc","False","False","2024-05-12","2021-05-12",577,"142kebab","green"
"9","Site","2019-03-06","nc","False","False","2024-03-06","2019-03-06",510,"15joursaufeminin","green"
"10","Site","2001-05-04","nc","False","False","2024-05-04","2022-03-14",569,"166e-services","green"
"11","Site","2020-12-15","nc","False","False","2022-12-15","2020-12-15",63,"1cafe","green"
"12","Site","2022-04-27","nc","False","False","2027-04-27","2022-04-27",1657,"2bc","green"
"13","Site","2017-12-26","nc","False","False","2022-12-26","2017-12-26",74,"2cdeveloppement","green"
"14","Site","2018-05-24","nc","False","False","2023-05-24","2021-11-17",223,"2cgservices","green"
"15","Site","2014-09-26","nc","False","False","2026-09-26","2021-08-06",1444,"2dnc","green"
"16","Site","2021-06-16","nc","False","False","2023-06-29","2021-06-16",259,"2l2t","green"
"17","Site","2016-04-28","nc","False","False","2026-04-29","2021-04-20",1294,"2roues","green"
"18","Site","2021-04-16","nc","False","False","2026-04-16","2021-04-16",1281,"2se","green"
"19","Site","2014-06-11","nc","False","False","2024-06-11","2022-04-21",607,"2sur4","green"
"20","Site","2010-09-16","nc","False","False","2024-09-16","2021-07-30",704,"2tcr","green"
"21","Site","2018-09-12","nc","False","False","2023-09-12","2018-09-12",334,"2trp","green"
"22","Site","2022-09-05","nc","False","False","2027-09-07","2022-09-05",1790,"2wdp","green"
"23","Site","2020-02-18","nc","False","False","2024-02-18","2022-01-18",493,"35foch","green"
"24","Site","2016-09-27","nc","False","False","2023-09-28","2021-09-27",350,"360","green"
"25","Site","2020-11-26","nc","False","False","2025-11-26","2020-11-26",1140,"365pc","green"
"26","Site","2022-03-10","nc","False","False","2027-03-10","2022-03-10",1609,"3cassurances","green"
"27","Site","2009-10-15","nc","False","False","2024-10-15","2019-08-26",733,"3d3t","green"
"28","Site","2016-08-17","nc","False","False","2024-08-17","2021-08-14",674,"3dmaker","green"
"29","Site","2022-09-24","nc","False","False","2027-09-24","2022-09-24",1807,"3gs","green"
"30","Site","2022-01-13","nc","False","False","2024-01-13","2022-01-13",457,"3rimmo","green"
"31","Site","2022-01-13","nc","False","False","2024-01-13","2022-01-13",457,"3rimmobilier","green"
"32","Site","2022-08-03","nc","False","False","2024-08-03","2022-08-03",660,"3rvilla","green"
"33","Site","2022-08-03","nc","False","False","2024-08-03","2022-08-03",660,"3rvillas","green"
"34","Site","2019-06-05","nc","False","False","2023-06-05","2021-04-26",235,"3telecom","green"
"35","Site","2020-06-12","nc","False","False","2025-06-12","2020-06-12",973,"4x3","green"
"36","Site","2018-06-26","nc","False","False","2024-06-26","2022-06-25",622,"5sens","green"
"37","Site","2013-02-25","nc","False","False","2025-02-25","2020-02-24",866,"911","green"
"38","Site","2019-11-13","nc","False","False","2024-11-13","2019-11-13",762,"999","green"
"39","Site","2022-03-29","nc","False","False","2027-03-29","2022-03-29",1628,"a-m-i","green"
"40","Site","2020-06-12","nc","False","False","2025-06-12","2020-06-12",973,"a2ep-geotec","green"
"41","Site","1999-05-18","nc","False","False","2023-05-18","2018-03-30",217,"a2ep","green"
"42","Site","2018-06-20","nc","False","False","2025-06-20","2020-04-30",981,"a2vmaintenance","green"
"43","Site","2007-08-31","nc","False","False","2023-08-31","2018-09-03",322,"aaa","green"
"44","Site","2011-01-13","nc","False","False","2023-01-13","2019-11-25",92,"aacnc","green"
"45","Site","2014-07-01","nc","False","False","2024-07-01","2022-05-13",627,"aaformation","green"
