nom,extension,isProtected,gestionnaire,beneficiaire,status,dns1,dns2,dns3,dns4,dns5,dns6,dateCreation,dateModification,dateExpiration,nbDaysBeforeExpires,expired,note
032,nc,False,LA FABRIK,Ridet : 1507490-001 32C,green,ns-408.awsdns-51.com,ns-1687.awsdns-18.co.uk,ns-1488.awsdns-58.org,ns-854.awsdns-42.net,,,2021-08-23,2021-08-23,2026-08-23,1410,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
1012,nc,False,AUCUN,Ridet : 0132720-001 OPT,green,nsopt1.opt.nc,nsopt2.opt.nc,nsopt3.opt.nc,,,,2008-04-02,2021-04-06,2028-04-02,1998,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
1013,nc,False,OPT,Ridet : 0132720-004 AGENCE COMMERCIALE DE L'OPT-NC,green,nsopt1.opt.nc,nsopt2.opt.nc,nsopt3.opt.nc,,,,2008-04-08,2021-02-16,2023-04-08,177,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
1016,nc,False,OPT,Ridet : 0132720-004 AGENCE COMMERCIALE DE L'OPT-NC,green,nsopt1.opt.nc,nsopt2.opt.nc,nsopt3.opt.nc,,,,2008-04-08,2021-02-16,2028-04-08,2004,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
1050,nc,False,OPT,Ridet : 0132720-004 AGENCE COMMERCIALE DE L'OPT-NC,green,nsopt1.opt.nc,nsopt2.opt.nc,nsopt3.opt.nc,,,,2008-04-08,2021-02-16,2023-04-08,177,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
10ansitineraires,nc,False,CAN'L,Ridet : 0984138-001 FRANCE TELEVISIONS,green,ns0.canl.nc,ns1.canl.nc,ns2.canl.nc,,,,2021-07-20,2021-07-20,2023-07-20,280,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
118,nc,False,MEGALEET TECHNOLOGY NC S.A.S.,LOUIS PAYET,green,ns1.megaleet.info,ns2.megaleet.info,ns3.megaleet.info,dns.megaleet.info,dns.megaleet.net,dns.megaleet.org,2017-07-28,2022-07-25,2027-07-28,1749,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
12glasser,nc,False,AUCUN,Ridet : 1484989-001 LE 12 GLASSER,green,ns1.vultr.com,ns2.vultr.com,,,,,2021-08-31,2021-08-31,2026-08-31,1418,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
142kebab,nc,False,AUCUN,Ridet : 1469741-001 LE 142 DE LA BAIE DES CITRONS,green,ns1.scasi.com,sdns2.ovh.net,,,,,2021-05-12,2021-05-12,2024-05-12,577,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
15joursaufeminin,nc,False,AUCUN,Ridet : 1387679-001 HELIUM,green,ns537069.ip-139-99-130.net,sdns1.ovh.ca,,,,,2019-03-06,2019-03-06,2024-03-06,510,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
166e-services,nc,False,LAGOON,Ridet : 0618678-001 166E-SERVICES,green,dnsp.lagoon.nc,dnss.lagoon.nc,dnst.lagoon.nc,,,,2001-05-04,2022-03-14,2024-05-04,569,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
1cafe,nc,False,AUCUN,Ridet : 1425693-001 INECO,green,gandalf.edge.nc,saruman.edge.nc,,,,,2020-12-15,2020-12-15,2022-12-15,63,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
2bc,nc,False,AUCUN,Ridet : 1154426-002 2BCREATIVE,green,pdns01.domaincontrol.com,pdns02.domaincontrol.com,,,,,2022-04-27,2022-04-27,2027-04-27,1657,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
2cdeveloppement,nc,False,AUCUN,Ridet : 1216415-001 2C DEVELOPPEMENT,green,pdns13.domaincontrol.com,pdns14.domaincontrol.com,,,,,2017-12-26,2017-12-26,2022-12-26,74,False,"Les données de cet annuaire WHOIS ne sont fournies qu'à titre d'information uniquement, et ne peuvent pas être employées pour vous aider à obtenir les informations liées à un nom de domaine. Domaine.nc rend cette information disponible 'en l'état', et ne garantit pas son exactitude."
